"","Fecha","campaign_id","Cantidad_llamadas"
"504",2019-05-18,10006,15
"505",2019-05-20,10006,111
"506",2019-05-21,10006,102
"507",2019-05-22,10006,84
"508",2019-05-23,10006,68
"509",2019-05-24,10006,58
"510",2019-05-25,10006,8
"511",2019-05-27,10006,64
"512",2019-05-28,10006,74
"513",2019-05-29,10006,71
"514",2019-05-30,10006,70
"515",2019-05-31,10006,73
"516",2019-06-01,10006,11
"517",2019-06-04,10006,79
"518",2019-06-05,10006,64
"519",2019-06-06,10006,80
"520",2019-06-07,10006,64
"521",2019-06-08,10006,10
"522",2019-06-10,10006,75
"523",2019-06-11,10006,79
"524",2019-06-12,10006,88
"525",2019-06-13,10006,69
"526",2019-06-14,10006,66
"527",2019-06-15,10006,8
"528",2019-06-17,10006,60
"529",2019-06-18,10006,87
"530",2019-06-19,10006,74
"531",2019-06-20,10006,82
"532",2019-06-21,10006,101
"533",2019-06-22,10006,10
"534",2019-06-25,10006,83
"535",2019-06-26,10006,72
"536",2019-06-27,10006,95
"537",2019-06-28,10006,73
"538",2019-06-29,10006,6
"539",2019-07-02,10006,86
"540",2019-07-03,10006,85
"541",2019-07-04,10006,91
"542",2019-07-05,10006,119
"543",2019-07-06,10006,10
"544",2019-07-08,10006,120
"545",2019-07-09,10006,104
"546",2019-07-10,10006,94
"547",2019-07-11,10006,95
"548",2019-07-12,10006,71
"549",2019-07-13,10006,11
"550",2019-07-15,10006,80
"551",2019-07-16,10006,101
"552",2019-07-17,10006,90
"553",2019-07-18,10006,95
"554",2019-07-19,10006,78
"555",2019-07-22,10006,92
"556",2019-07-23,10006,75
"557",2019-07-24,10006,92
"558",2019-07-25,10006,73
"559",2019-07-26,10006,114
"560",2019-07-27,10006,8
"561",2019-07-29,10006,68
"562",2019-07-30,10006,94
"563",2019-07-31,10006,118
"564",2019-08-01,10006,90
"565",2019-08-02,10006,85
"566",2019-08-03,10006,11
"567",2019-08-05,10006,99
"568",2019-08-06,10006,83
"569",2019-08-08,10006,61
"570",2019-08-09,10006,51
"571",2019-08-10,10006,9
"572",2019-08-12,10006,70
"573",2019-08-13,10006,73
"574",2019-08-14,10006,66
"575",2019-08-15,10006,77
"576",2019-08-16,10006,75
"577",2019-08-17,10006,6
"578",2019-08-20,10006,82
"579",2019-08-21,10006,67
"580",2019-08-22,10006,58
"581",2019-08-23,10006,94
"582",2019-08-24,10006,11
"583",2019-08-26,10006,44
"584",2019-08-27,10006,68
"585",2019-08-28,10006,95
"586",2019-08-29,10006,87
"587",2019-08-30,10006,72
"588",2019-08-31,10006,4
"589",2019-09-02,10006,109
"590",2019-09-03,10006,110
"591",2019-09-04,10006,77
"592",2019-09-05,10006,81
"593",2019-09-06,10006,66
"594",2019-09-07,10006,12
"595",2019-09-09,10006,75
"596",2019-09-10,10006,77
"597",2019-09-11,10006,112
"598",2019-09-12,10006,72
"599",2019-09-13,10006,90
"600",2019-09-14,10006,6
"601",2019-09-16,10006,79
"602",2019-09-17,10006,81
"603",2019-09-18,10006,89
"604",2019-09-19,10006,80
"605",2019-09-20,10006,54
"606",2019-09-21,10006,13
"607",2019-09-23,10006,79
"608",2019-09-24,10006,95
"609",2019-09-25,10006,81
"610",2019-11-13,10006,60
"611",2019-11-14,10006,41
"612",2019-11-15,10006,75
"613",2019-11-16,10006,14
"614",2019-11-18,10006,95
"615",2019-11-19,10006,68
"616",2019-11-20,10006,60
"617",2019-11-21,10006,82
